,dataset,prob_labels,n_data,dim_reduction_technique,dimension,metric,k,n_samples,Accuracy,RMSE,KL,MAE,TV
58,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,25,0.5933,0.21485513085538144,,0.07792477352972524,0.38604176552669095
59,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,25,0.3657,0.2589266878239386,,0.11807403687772719,0.5767523591960367
60,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,50,0.7712,0.15380343799752239,,0.05083540261125907,0.2472670740032373
61,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,50,0.7628,0.15499588311545714,,0.051900819622053854,0.2537742614920915
62,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,50,0.7702,0.17788874206551414,,0.05791678790966339,0.28403940799963723
63,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,50,0.7526,0.17243430666543538,,0.060492152893670895,0.29597043283276675
64,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,50,0.8319,0.1399621232160806,,0.04483511703640531,0.2183248815013164
65,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,100,0.8615,0.13309183013948056,,0.03679352053733258,0.17912060886429898
66,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,100,0.8467,0.1387679992547953,,0.03895730636459602,0.19130412927235624
67,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,100,0.8751,0.13378995541946953,,0.03877394944338995,0.18699777536786588
68,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,100,0.8663,0.1425134574695766,,0.04432104330126024,0.2154300805079897
69,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,100,0.847,0.14299219714867814,,0.04394054352035236,0.2147744263459558
70,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,250,0.8657,0.12939202897153554,,0.036371110986436424,0.177036059910332
71,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,250,0.8761,0.13564660377914514,,0.03959263230820263,0.19401769125089827
