,dataset,n_data,dim_reduction_technique,dimension,prob_labels,alpha,n_samples,k,RMSE,Accuracy,runtime,config
79,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,500,3,0.2929420467224711,0.10858,0.6235964298248291,configs/FGMRES.json
80,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,1000,3,0.2915180930081374,0.1177,0.6280889511108398,configs/FGMRES.json
81,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,1000,3,0.29151509000220466,0.11746,0.6078674793243408,configs/FGMRES.json
82,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,1000,3,0.29150993563689426,0.11762,0.6074824333190918,configs/FGMRES.json
83,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,1000,3,0.29158049051149965,0.1174,0.6127986907958984,configs/FGMRES.json
84,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,1000,3,0.29163171020942047,0.11672,0.6113793849945068,configs/FGMRES.json
85,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,5000,3,0.2805419424041326,0.18364,0.7009444236755371,configs/FGMRES.json
86,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,5000,3,0.2805747456892835,0.18364,0.7039597034454346,configs/FGMRES.json
87,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,5000,3,0.28041790838242836,0.18346,0.6980068683624268,configs/FGMRES.json
88,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,5000,3,0.2806174495124633,0.18284,0.6974809169769287,configs/FGMRES.json
89,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,5000,3,0.28045983122550366,0.18402,0.7014906406402588,configs/FGMRES.json
90,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10000,3,0.26725733572030397,0.25918,0.8117506504058838,configs/FGMRES.json
91,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10000,3,0.2676873090474262,0.25828,0.8177981376647949,configs/FGMRES.json
92,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10000,3,0.26750013826154806,0.25868,0.8146402835845947,configs/FGMRES.json
93,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10000,3,0.26729595500152153,0.2598,0.8283224105834961,configs/FGMRES.json
94,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10000,3,0.2674507676238696,0.25914,0.8279988765716553,configs/FGMRES.json
95,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100000,3,0.1161182482141762,0.86116,2.92903995513916,configs/FGMRES.json
96,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100000,3,0.11626303082201372,0.86078,2.8132424354553223,configs/FGMRES.json
97,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100000,3,0.11537383827251643,0.86286,2.9277443885803223,configs/FGMRES.json
98,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100000,3,0.11561921294212607,0.8629,2.7529795169830322,configs/FGMRES.json
99,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100000,3,0.11608950790802017,0.86088,2.758605480194092,configs/FGMRES.json
100,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10,5,0.29431942250369186,0.10018,0.5517466068267822,configs/FGMRES.json
101,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10,5,0.2943227354856447,0.10014,0.5505595207214355,configs/FGMRES.json
102,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10,5,0.29432070081385875,0.10014,0.5835063457489014,configs/FGMRES.json
103,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10,5,0.2943194747750811,0.1002,0.5605404376983643,configs/FGMRES.json
104,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10,5,0.2943199480638573,0.10016,0.5471699237823486,configs/FGMRES.json
105,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,25,5,0.294287505047807,0.10046,0.5431644916534424,configs/FGMRES.json
106,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,25,5,0.29428959633438734,0.10042,0.5502002239227295,configs/FGMRES.json
107,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,25,5,0.29428116683862965,0.10044,0.5489487648010254,configs/FGMRES.json
108,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,25,5,0.2942747782485805,0.10046,0.5441622734069824,configs/FGMRES.json
109,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,25,5,0.2942859917248478,0.10044,0.5456845760345459,configs/FGMRES.json
110,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,50,5,0.2942201933293037,0.10076,0.5470058917999268,configs/FGMRES.json
111,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,50,5,0.2942093026638535,0.1009,0.5496721267700195,configs/FGMRES.json
112,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,50,5,0.29421377676811034,0.10084,0.5441484451293945,configs/FGMRES.json
113,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,50,5,0.2942009688938926,0.10084,0.5444808006286621,configs/FGMRES.json
114,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,50,5,0.29422490358350073,0.10078,0.5473654270172119,configs/FGMRES.json
115,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100,5,0.294069058661763,0.10186,0.546048641204834,configs/FGMRES.json
