,dataset,prob_labels,n_data,dim_reduction_technique,dimension,gamma,n_samples,Accuracy,RMSE,KL,MAE,TV,sparse
66,TwoMoons,prob_label,10000,NONE,2,1.0,10,0.7468,0.46222809974140455,0.7506487986831903,0.30887963840709604,0.3088796384070959,False
67,TwoMoons,prob_label,10000,NONE,2,1.0,10,0.9159,0.3640082329814445,0.4365221358626584,0.34900463905882473,0.34900463905882523,False
68,TwoMoons,prob_label,10000,NONE,2,1.0,10,0.8495,0.33682620039232364,0.36170083511875945,0.26798695992033683,0.2679869599203377,False
69,TwoMoons,prob_label,10000,NONE,2,1.0,10,0.8044,0.3491768514066769,0.3590206155781262,0.22588579828514826,0.2258857982851474,False
70,TwoMoons,prob_label,10000,NONE,2,1.0,100,0.87,0.31792624604801756,0.3541294930794845,0.2853609097312715,0.2853609097312716,False
71,TwoMoons,prob_label,10000,NONE,2,1.0,100,0.8714,0.31748371023468114,0.34799118133315465,0.27570088960551165,0.2757008896055106,False
72,TwoMoons,prob_label,10000,NONE,2,1.0,100,0.8639,0.322287977456726,0.3601274789710563,0.2885071893899498,0.2885071893899497,False
73,TwoMoons,prob_label,10000,NONE,2,1.0,100,0.8745,0.32358178032566054,0.35962202681393657,0.2863917915963309,0.28639179159633016,False
74,TwoMoons,prob_label,10000,NONE,2,1.0,100,0.8617,0.31254792668047127,0.3401087517333095,0.2712957002197106,0.2712957002197107,False
75,TwoMoons,prob_label,10000,NONE,2,1.0,100,0.8638,0.30932356612638845,0.3340851129076837,0.2666798166759474,0.26667981667594787,False
76,TwoMoons,prob_label,10000,NONE,2,1.0,100,0.8753,0.3373671373575066,0.3803412790780039,0.298983065702689,0.29898306570268846,False
77,TwoMoons,prob_label,10000,NONE,2,1.0,100,0.8831,0.3210755786901619,0.3605710244338297,0.2903628636649954,0.29036286366499414,False
78,TwoMoons,prob_label,10000,NONE,2,1.0,100,0.9038,0.34044625190283007,0.3977781167513128,0.322010062803949,0.32201006280394956,False
79,TwoMoons,prob_label,10000,NONE,2,1.0,100,0.8607,0.32322903671472075,0.3603126964428862,0.28788523558248136,0.2878852355824803,False
80,TwoMoons,prob_label,10000,NONE,2,1.0,1000,0.8681,0.32036562921614753,0.3587450078705004,0.2891609561609948,0.2891609561609946,False
81,TwoMoons,prob_label,10000,NONE,2,1.0,1000,0.8636,0.3161357650261124,0.348427252004673,0.27938660574714563,0.2793866057471458,False
82,TwoMoons,prob_label,10000,NONE,2,1.0,1000,0.8713,0.31528008613410347,0.3496437507377875,0.28207285390591574,0.2820728539059171,False
83,TwoMoons,prob_label,10000,NONE,2,1.0,1000,0.8668,0.31321614811993087,0.34413501811382513,0.27640449348196644,0.27640449348196616,False
84,TwoMoons,prob_label,10000,NONE,2,1.0,1000,0.8784,0.31752817579291914,0.35628449853749905,0.2888784119547258,0.2888784119547263,False
85,TwoMoons,prob_label,10000,NONE,2,1.0,1000,0.8654,0.3179705937210847,0.3516638894049317,0.28159987200353076,0.28159987200353137,False
86,TwoMoons,prob_label,10000,NONE,2,1.0,1000,0.8708,0.3140609046913886,0.34713364213086245,0.2799061470800729,0.27990614708007105,False
87,TwoMoons,prob_label,10000,NONE,2,1.0,1000,0.8752,0.3202540750576658,0.360325091570492,0.2914838324359015,0.29148383243590104,False
88,TwoMoons,prob_label,10000,NONE,2,1.0,1000,0.8706,0.3177014566025512,0.3542033140326264,0.28567555411431644,0.28567555411431556,False
89,TwoMoons,prob_label,10000,NONE,2,1.0,1000,0.8728,0.3158424371728954,0.35141398865813483,0.2840636511543688,0.2840636511543688,False
90,TwoMoons,prob_label,10000,NONE,2,10.0,10,0.9978,0.06302108886292827,0.028248563509492657,0.02671654467654453,0.02671654467654451,False
91,TwoMoons,prob_label,10000,NONE,2,10.0,10,0.9646,0.15469662673127207,0.08271017151088851,0.06392335842861219,0.06392335842861248,False
92,TwoMoons,prob_label,10000,NONE,2,10.0,10,0.7672,0.46027487937855194,1.5967185771886867,0.2368175379733396,0.2368175379733394,False
93,TwoMoons,prob_label,10000,NONE,2,10.0,10,0.8286,0.37683718505563246,0.5948453204600246,0.17475373331701152,0.1747537333170115,False
94,TwoMoons,prob_label,10000,NONE,2,10.0,10,0.8854,0.3100280853821154,0.5109232070851755,0.11810211794899,0.11810211794899043,False
95,TwoMoons,prob_label,10000,NONE,2,10.0,10,0.986,0.09401903162512532,0.030474697574938994,0.020416458157728357,0.020416458157728426,False
96,TwoMoons,prob_label,10000,NONE,2,10.0,10,0.8133,0.41994860161967273,2.419966032576302,0.18852989414784244,0.18852989414784244,False
97,TwoMoons,prob_label,10000,NONE,2,10.0,10,0.8023,0.4168650139069579,1.272138812016768,0.1990662969229733,0.19906629692297315,False
98,TwoMoons,prob_label,10000,NONE,2,10.0,10,0.804,0.4180181737061314,1.064771384563598,0.20183003383551135,0.20183003383551218,False
99,TwoMoons,prob_label,10000,NONE,2,10.0,10,0.9989,0.041859527002166844,0.014152861728682959,0.014733223998374873,0.014733223998374853,False
100,TwoMoons,prob_label,10000,NONE,2,10.0,100,0.9955,0.0654636021708592,0.02454423769245601,0.022063356627970303,0.022063356627970272,False
101,TwoMoons,prob_label,10000,NONE,2,10.0,100,0.9985,0.05172544868890412,0.023204748620645373,0.024054696643955327,0.024054696643955327,False
102,TwoMoons,prob_label,10000,NONE,2,10.0,100,0.999,0.04793009319159344,0.019522083077707718,0.02043000658341778,0.02043000658341781,False
