,dataset,prob_labels,n_data,dim_reduction_technique,dimension,metric,k,n_samples,Accuracy,RMSE,KL,MAE,TV
293,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,10,1000,0.8934,0.11344650480823548,,0.033633789256311414,0.16102110318525137
294,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,10,1000,0.8947,0.11397345372169172,,0.032317173400817106,0.15558278639807077
295,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,10,1000,0.895,0.11202410376462646,,0.03184350123914476,0.1537230573290492
296,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,10,1000,0.8929,0.11469267214301156,,0.032614006087150156,0.1571283138288858
297,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,10,1000,0.8901,0.1142960889069687,,0.034843147466403705,0.16767102666529524
298,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,10,1000,0.8917,0.11442595588341054,,0.034078598668139636,0.16425234427746496
299,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,10,1000,0.8888,0.11361335783537627,,0.03257307487628424,0.15655382797008202
300,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,10,,,,,
301,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,10,,,,,
302,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,10,,,,,
303,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,10,,,,,
304,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,10,,,,,
305,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,10,,,,,
306,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,10,,,,,
307,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,10,,,,,
308,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,10,,,,,
309,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,10,,,,,
310,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,100,0.5652,0.2201102328848942,,0.10860384588896235,0.5314105221806621
311,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,100,0.4681,0.22693236107206957,,0.11080000334383641,0.5429976432466047
312,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,100,0.5425,0.21853926121276643,,0.10599376849293732,0.5186515564894526
313,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,100,0.5435,0.22358474441745782,,0.1116752744423418,0.54693349674431
314,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,100,0.6244,0.20984091588617176,,0.10833726875220426,0.53117841949215
315,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,100,0.5298,0.21467494513501598,,0.10563455087785496,0.51764474989128
316,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,100,0.74,0.20908215743064837,,0.10900195753557736,0.5370889119470423
317,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,100,0.4661,0.22368540132449324,,0.10834106160041887,0.528974610643366
318,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,100,0.5837,0.2118273150524816,,0.10495907046631955,0.516011344973324
319,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,100,0.5561,0.2135921405921079,,0.10347407948632772,0.5034849527738785
320,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,1000,0.8932,0.11134119230752822,,0.0323555966597503,0.1556422882587829
321,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,1000,0.8875,0.11340380382189616,,0.03272115176473733,0.15719143948299155
322,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,1000,0.8876,0.11356064899609279,,0.03208777443992703,0.15430990312282603
323,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,1000,0.8931,0.11158373641417126,,0.03153145565472155,0.1516462773593488
324,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,1000,0.8901,0.11192389128562603,,0.031729110679887915,0.1529112781344072
325,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,1000,0.8911,0.11193891034328256,,0.0325095850319353,0.15658775668339706
326,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,1000,0.8912,0.11218680466977426,,0.03397501278040772,0.16279823397366985
327,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,1000,0.8927,0.11263191023335797,,0.03425409110955361,0.16463286357613693
328,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,1000,0.8895,0.1126784190086472,,0.032229225320656224,0.15459792047248383
329,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,20,1000,0.8891,0.11209197559601716,,0.03174097115815971,0.15262149654377036
