,dataset,n_data,dim_reduction_technique,dimension,prob_labels,alpha,n_samples,k,RMSE,Accuracy,KL,MAE,TV,runtime,config
329,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,1000,20,0.274295484095378,0.1823,,0.15782864365364244,0.7800378526797069,0.12569689750671387,configs/FGMRES.json
330,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,10,20,0.2616005969976197,0.6356,1.7977255260909402,0.14828150120134634,0.7313694990919983,0.5730259418487549,configs/FGMRES.json
331,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,10,20,0.2702894233848202,0.3703,1.9301687677729296,0.1540375874684638,0.7591265249036524,0.5687284469604492,configs/FGMRES.json
332,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,10,20,0.26301084683387727,0.4636,1.8279416490675464,0.148088277063064,0.731168531610419,0.619661808013916,configs/FGMRES.json
333,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,10,20,0.27255120264159566,0.4963,1.9535592656768894,0.15640727916791838,0.7718247053917386,0.6713113784790039,configs/FGMRES.json
334,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,10,20,0.269918470541858,0.4941,1.9036650943927842,0.1544795612839785,0.7630144068580638,0.6785316467285156,configs/FGMRES.json
335,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,10,20,0.25535160095494575,0.66,1.7101662831925208,0.14397556662049432,0.7096792346586214,0.6083230972290039,configs/FGMRES.json
336,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,10,20,0.265708445525351,0.5477,1.8459947374992765,0.14994452233281805,0.7390350289370649,0.5747709274291992,configs/FGMRES.json
337,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,10,20,0.2645657817470448,0.6514,1.8311000024601956,0.1515477090261221,0.7475865236380236,0.6394784450531006,configs/FGMRES.json
338,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,10,20,0.26594601091736514,0.4632,1.8825207310014473,0.1509903962646688,0.7448798674838315,0.5871353149414062,configs/FGMRES.json
339,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,10,20,0.2637325915719255,0.553,1.8445214169450395,0.15018740036644784,0.7412062403019358,0.5937473773956299,configs/FGMRES.json
340,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.5,100,20,0.17789675991117854,0.8023,0.9615995521041517,0.06603267566080964,0.32141696397876923,0.8615536689758301,configs/FGMRES.json
