,dataset,n_data,dim_reduction_technique,dimension,prob_labels,alpha,n_samples,k,RMSE,Accuracy,KL,MAE,TV,runtime,config
106,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.9,10,20,0.2055617536081132,0.6112,1.2205262152624266,0.09045794712453187,0.445443804148435,0.45633769035339355,configs/FGMRES.json
107,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.9,10,20,0.23712036074100457,0.4414,1.6230853876818925,0.11784357216157759,0.582101470988816,0.4525868892669678,configs/FGMRES.json
108,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.9,10,20,0.24598513505568803,0.3685,1.6624502963667713,0.12369021451460079,0.6102068289552739,0.4496495723724365,configs/FGMRES.json
109,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.9,10,20,0.19742732591400486,0.5672,1.2082561803191887,0.09223329971767966,0.45337360578636143,0.44978880882263184,configs/FGMRES.json
110,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.9,100,20,0.13616845115363063,0.8495,0.5931692567871791,0.03532735765272085,0.17225307310664115,0.7358393669128418,configs/FGMRES.json
111,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.9,100,20,0.14296407624547605,0.8535,0.6745152172740705,0.03803067124721439,0.18604127247259647,0.7188153266906738,configs/FGMRES.json
112,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.9,100,20,0.14151360100595675,0.8498,0.6413759599083383,0.03948084952330537,0.19314117819904011,0.7116503715515137,configs/FGMRES.json
113,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.9,100,20,0.1414241704553174,0.8465,0.6323101455292512,0.03843629417082056,0.18763779237332331,0.7109737396240234,configs/FGMRES.json
114,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.9,100,20,0.14299855973507716,0.8546,0.6524185178570556,0.040589823220411554,0.1971746298432285,0.7145202159881592,configs/FGMRES.json
115,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.9,1000,20,0.1093072611393983,0.9082,0.41040248562946663,0.03174723867722483,0.15201953612244976,3.3272204399108887,configs/FGMRES.json
116,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.9,1000,20,0.11215224243316309,0.9059,0.43428442876994466,0.031384317856666795,0.15035424763715796,3.3043999671936035,configs/FGMRES.json
117,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.9,1000,20,0.10984259944299968,0.9081,0.41772700728161033,0.031402390582283335,0.15055056161058786,3.3496644496917725,configs/FGMRES.json
118,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.9,1000,20,0.11149220433442326,0.9079,0.40425278817392474,0.03249510064149084,0.15581752241153485,3.3164405822753906,configs/FGMRES.json
119,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.9,1000,20,0.10938940479684871,0.9094,0.39968243303640083,0.031498274535997094,0.15128468224221897,3.303635358810425,configs/FGMRES.json
120,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.99,10,20,0.2193469939806149,0.6393,2.1140722249170083,0.0827343956642379,0.40685661514339855,0.4558873176574707,configs/FGMRES.json
121,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.99,10,20,0.2763007160475847,0.4789,3.5209224499149734,0.10562808795180152,0.5211401080815561,0.4554917812347412,configs/FGMRES.json
122,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.99,10,20,0.260824584559197,0.468,2.1692074381359947,0.10604839957621981,0.5230800691253001,0.4567270278930664,configs/FGMRES.json
123,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.99,10,20,0.22180616799496078,0.6504,2.1225108843777316,0.07702230749307706,0.378794356196713,0.45517659187316895,configs/FGMRES.json
124,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.99,10,20,0.22527717979344558,0.5898,1.8338295635540232,0.08410005588579872,0.4133560815921237,0.45605897903442383,configs/FGMRES.json
125,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.99,100,20,0.13446501919255202,0.8617,0.5740086796745554,0.04723556465906534,0.22863826636418358,0.7516002655029297,configs/FGMRES.json
126,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.99,100,20,0.13034720304411684,0.8687,0.5178320370377776,0.045780199232101734,0.22143982007215304,0.7437105178833008,configs/FGMRES.json
127,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.99,100,20,0.12460486327663815,0.8815,0.5265101546434833,0.03803775306696448,0.1822507406566118,0.7576735019683838,configs/FGMRES.json
128,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.99,100,20,0.12515719604405184,0.8833,0.5145530733735368,0.04178579872498159,0.20135248728806313,0.7538723945617676,configs/FGMRES.json
129,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.99,100,20,0.1201348863964357,0.9004,0.4985046309709829,0.03989335067955136,0.1911329635536406,0.7479197978973389,configs/FGMRES.json
130,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.99,1000,20,0.11208436726193656,0.9059,0.38797233758953054,0.038982719020029935,0.18698412513192866,3.748481273651123,configs/FGMRES.json
131,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.99,1000,20,0.11100948698456617,0.9052,0.37082649129002493,0.03787603134992263,0.18187618529803534,3.6769871711730957,configs/FGMRES.json
132,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.99,1000,20,0.11151596064901173,0.9057,0.3710965481531167,0.039429811416288145,0.1895047303163634,3.739147901535034,configs/FGMRES.json
133,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.99,1000,20,0.11350985810239289,0.9056,0.4001741316173435,0.03718674686170913,0.17874568107247768,3.7263665199279785,configs/FGMRES.json
134,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.99,1000,20,0.11225650174374695,0.9049,0.37371063141447347,0.04019333412931038,0.19307788296205425,3.6979591846466064,configs/FGMRES.json
135,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,50,20,0.2547431329604653,0.83004,1.6451916595007188,0.13897375663986758,0.6876012265313229,4.420167446136475,configs/FGMRES.json
136,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,50,20,0.25603004125944595,0.79484,1.6759233159178946,0.1414552272105197,0.699742536434868,4.394668102264404,configs/FGMRES.json
137,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,50,20,0.252445176202412,0.85446,1.6338823015166144,0.13991307420510563,0.6914633017252722,4.3980114459991455,configs/FGMRES.json
