,dataset,prob_labels,n_data,dim_reduction_technique,dimension,gamma,n_samples,Accuracy,RMSE
134,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,1000,0.10086,0.29424890976789164
135,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,5000,0.09952,0.29420138252281325
136,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,5000,0.10248,0.2941663204512179
137,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,5000,0.10042,0.29416060285796847
138,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,5000,0.10086,0.2942092781102974
139,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,5000,0.10248,0.29416398649334463
140,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,10000,0.09952,0.2941403828236942
141,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,10000,0.1015,0.29414404074521594
142,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,10000,0.29578,0.29414212410790286
143,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,10000,0.10086,0.29415173653513244
144,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,10000,0.10048,0.294145361006129
145,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,100000,0.10248,0.2941354794001041
146,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,100000,0.20136,0.29413479119001024
147,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,100000,0.10248,0.29413594290748024
148,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,100000,0.20276,0.2941352578214351
149,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,100000,0.10248,0.294135864254817
150,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,10,0.36212,0.30662567851605915
151,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,10,0.10042,0.31345627392828707
152,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,10,0.09902,0.3084993883761652
153,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,10,0.28266,0.3024458507502058
154,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,10,0.09552,0.3090354593663863
155,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,25,0.1015,0.29387365120271614
156,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,25,0.10042,0.29729460764438753
157,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,25,0.3745,0.2981016915506073
158,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,25,0.10086,0.29362837480836534
159,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,25,0.10042,0.2995651004972208
160,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,50,0.19706,0.29613654342483187
161,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,50,0.19518,0.2957882328159455
162,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,50,0.11752,0.2956206730547926
163,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,50,0.1015,0.29457038979442685
164,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.001,50,0.09902,0.2964286188153603
