,dataset,n_data,dim_reduction_technique,dimension,prob_labels,alpha,n_samples,k,RMSE,Accuracy,KL,MAE,TV,runtime,config
116,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,100,5,0.2857482861680331,0.1095,,0.1713124974210583,0.8461839437983221,0.10959362983703613,configs/FGMRES.json
117,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,100,5,0.28579247290879506,0.1083,,0.17135567646547478,0.8463891976371845,0.11015176773071289,configs/FGMRES.json
118,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,100,5,0.28592917311107663,0.1085,,0.17144585301360418,0.8468231815130224,0.10997986793518066,configs/FGMRES.json
119,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,100,5,0.28585573141798803,0.1087,,0.17139650554357772,0.8465815200393945,0.11050271987915039,configs/FGMRES.json
120,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,250,5,0.28398943892171796,0.1211,,0.16909439806411858,0.8353646009974187,0.11225509643554688,configs/FGMRES.json
121,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,250,5,0.28373868412276093,0.1221,,0.16894973501385196,0.834454545875951,0.11287140846252441,configs/FGMRES.json
122,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,250,5,0.2840385781805474,0.121,,0.16912697672913163,0.8353855432664171,0.11347317695617676,configs/FGMRES.json
123,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,250,5,0.28395041605058297,0.1206,,0.16910044229570173,0.8353166433687745,0.1136479377746582,configs/FGMRES.json
124,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,250,5,0.28395307314984447,0.1214,,0.16909827511268602,0.8353518057256639,0.11307406425476074,configs/FGMRES.json
125,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,500,5,0.2805906974818052,0.1432,,0.16517952864409935,0.8158802955676074,0.11841177940368652,configs/FGMRES.json
126,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,500,5,0.28076599544747055,0.142,,0.16530148425588378,0.8164990890189349,0.11802172660827637,configs/FGMRES.json
127,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,500,5,0.2807614654403226,0.1417,,0.16529956264234152,0.8165367906093138,0.11830854415893555,configs/FGMRES.json
128,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,500,5,0.2805668205509767,0.1428,,0.1652117421098886,0.81606689244553,0.11935544013977051,configs/FGMRES.json
129,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,500,5,0.2807226241236198,0.1411,,0.16526550299484571,0.816437374873296,0.11809563636779785,configs/FGMRES.json
130,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,1000,5,0.2746029905379616,0.1802,,0.1580745127576926,0.7808797041869093,0.12849211692810059,configs/FGMRES.json
131,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,1000,5,0.27403864366953423,0.1811,,0.15767539132318717,0.7787214635187507,0.1286916732788086,configs/FGMRES.json
132,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,1000,5,0.2746305671642636,0.1813,,0.15813599331670664,0.781217675899777,0.12905383110046387,configs/FGMRES.json
133,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,1000,5,0.27406996033352726,0.1825,,0.1576298621311306,0.7784757143253493,0.127577543258667,configs/FGMRES.json
134,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,1000,5,0.2744604712833235,0.181,,0.15798967628738414,0.7804109251510007,0.12856006622314453,configs/FGMRES.json
135,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,5000,5,0.2296509602060266,0.4362,,0.1107417840730009,0.5470335024151192,0.21424150466918945,configs/FGMRES.json
136,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,5000,5,0.22875534029334904,0.4375,,0.1101653366816084,0.5442709183647976,0.2130730152130127,configs/FGMRES.json
137,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,5000,5,0.22970035358979984,0.4388,,0.11103940002395159,0.5489856507596823,0.2119295597076416,configs/FGMRES.json
138,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,5000,5,0.22860206029320967,0.4425,,0.10992426004138305,0.543161029313935,0.21416974067687988,configs/FGMRES.json
139,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,5000,5,0.22947454539458886,0.4373,,0.11082840403962328,0.5475233849781863,0.21366548538208008,configs/FGMRES.json
140,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,10000,5,0.18372458779176365,0.6449,,0.07194189745810418,0.35559563487420154,0.32172155380249023,configs/FGMRES.json
141,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,10000,5,0.1844505923647769,0.6414,,0.07250149930442787,0.35835319198243426,0.3205728530883789,configs/FGMRES.json
142,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,10000,5,0.18520650207913428,0.6411,,0.07294117879673623,0.36039789394600946,0.32031774520874023,configs/FGMRES.json
143,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,10000,5,0.18264043503411037,0.6505,,0.07144103560464465,0.3532683693812045,0.3208017349243164,configs/FGMRES.json
144,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,10000,5,0.185301957549627,0.6411,,0.07276131202297045,0.3599031741877911,0.321882963180542,configs/FGMRES.json
145,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,100000,5,0.02928704804810604,0.991,,0.0079128850696446,0.0378755390275562,2.3193609714508057,configs/FGMRES.json
146,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,100000,5,0.028310953590755323,0.9904,,0.007740431527678983,0.03704284847266755,2.298034429550171,configs/FGMRES.json
147,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,100000,5,0.028957295772716263,0.9907,,0.007801074726605098,0.03751163762991746,2.3108856678009033,configs/FGMRES.json
148,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.0,100000,5,0.029365238776480212,0.9903,,0.007834284368305421,0.03752220305598507,2.3082079887390137,configs/FGMRES.json
