,dataset,n_data,dim_reduction_technique,dimension,prob_labels,alpha,n_samples,k,RMSE,Accuracy,runtime,config
49,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,41,0.14181610390793264,0.8407,8.212859392166138,configs/FGMRES.json
50,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,51,0.14797255857676345,0.8256,9.597620248794556,configs/FGMRES.json
51,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,51,0.14908798294936937,0.82132,9.67906403541565,configs/FGMRES.json
52,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,51,0.1436742572720744,0.83264,9.685218572616577,configs/FGMRES.json
53,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,51,0.15260785039526384,0.81596,9.645273447036743,configs/FGMRES.json
54,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,51,0.14050914157754246,0.83848,9.62881064414978,configs/FGMRES.json
55,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,3,0.18357401740574328,0.78372,6.246022939682007,configs/FGMRES.json
56,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,3,0.18021273347589106,0.79018,6.264892578125,configs/FGMRES.json
57,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,3,0.181213630583251,0.7829,6.209351539611816,configs/FGMRES.json
58,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,3,0.1798062356492992,0.78194,6.259947299957275,configs/FGMRES.json
59,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,3,0.17850920809920923,0.78582,6.2925519943237305,configs/FGMRES.json
60,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,4,0.16049264798674104,0.80254,6.261838912963867,configs/FGMRES.json
61,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,4,0.15350578109371188,0.81636,6.202505111694336,configs/FGMRES.json
