,dataset,prob_labels,n_data,dim_reduction_technique,dimension,gamma,n_samples,Accuracy,RMSE,KL,MAE,TV,sparse
34,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,1000,0.1005,0.28726266724722976,2.1506704474022253,0.17299426517763308,0.8543915273369345,False
35,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,5000,0.1004,0.28719545114433903,2.1488276841717577,0.17295813135817412,0.8544181214422879,False
36,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,5000,0.1004,0.2871927115194127,2.1486787200922497,0.17294128624919688,0.8544131001337563,False
37,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,5000,0.1004,0.2871948521123767,2.1487938448973503,0.17294123145521545,0.854413738518519,False
38,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,5000,0.1004,0.2871776038278776,2.148301571390762,0.1729588534678524,0.8544203042197054,False
39,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,5000,0.1005,0.2871897758764875,2.1486325220648483,0.17296403040866798,0.8544168828420668,False
40,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,10000,0.1015,0.2871623703551022,2.1478698810799646,0.17296466252287127,0.8544166017828038,False
41,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,10000,0.1015,0.2871742545994481,2.1482137436929234,0.17296907116828222,0.8544128227879035,False
42,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,10000,0.1015,0.28718440323709526,2.1485184294467046,0.1729377605603692,0.8544135613567121,False
43,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,10000,0.1015,0.2871648209593443,2.147935701475748,0.17297188143255987,0.8544085339512101,False
44,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,10000,0.1015,0.28717044861786223,2.1481009563817706,0.17296685660556094,0.8544206909857752,False
45,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,100000,0.1004,0.28715642118705925,2.1476970392888086,0.17296060193212495,0.8544145580710576,False
46,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,100000,0.1015,0.2871576523718455,2.147731843521895,0.17297116088375647,0.8544142198945643,False
47,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,100000,0.1015,0.28715742450474463,2.147725764182127,0.17297107137700501,0.8544165146529235,False
48,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,100000,0.1015,0.28715760169832893,2.1477302992486056,0.1729706451948693,0.8544111698944055,False
49,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,100000,0.1004,0.28715779369608907,2.147736926472401,0.1729653592960298,0.8544108309294428,False
50,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,10,0.1001,0.3039695950242917,12.195394322980961,0.17621047640806262,0.8552074412687003,False
51,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,10,0.0999,0.31737035202835806,14.369325071876656,0.1761725978231772,0.8551689120068519,False
52,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,10,0.0981,0.30413011526736705,12.11604115208867,0.17629235899927329,0.8549460751698574,False
53,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,10,0.2913,0.2972101474646568,9.651108871734285,0.1747936573966988,0.8546352248898847,False
54,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,10,0.1963,0.2940523008738,7.192869248688363,0.17393794757163067,0.8547146919861076,False
55,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,25,0.129,0.2899209768905565,2.2450758558420922,0.1731412037439329,0.854318055453218,False
56,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,25,0.1003,0.29323761468664794,2.317880462957421,0.17318847374124807,0.8543656900939737,False
57,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,25,0.2682,0.29104907698164706,2.2878061398469893,0.17291833577071924,0.8544908581976263,False
58,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,25,0.0998,0.3043446142277025,12.312416203329054,0.17520655209331548,0.8542732164259004,False
59,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,25,0.0999,0.29214518312056476,4.728633513743931,0.1740992701377102,0.854422512580177,False
60,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,50,0.0998,0.28938677975873855,2.202391316884988,0.1731565376862911,0.8543222948438175,False
61,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,50,0.1015,0.2896342391814041,2.2077830500677456,0.17299760845600945,0.8542222209626309,False
62,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,50,0.1983,0.2898223188138534,2.241696011425169,0.17319718601279882,0.8542850913007165,False
63,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,50,0.1015,0.2890499641530393,2.2148249551762773,0.17304455395577462,0.8543433101808391,False
64,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,50,0.1004,0.29423046038651285,2.3554818161325843,0.17320036030488456,0.8545831758862467,False
65,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,100,0.1001,0.28829089891712967,2.1826830612568586,0.17307281423030388,0.8543519079827016,False
66,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,100,0.0995,0.2888388567827801,2.196334574488158,0.17283416760151507,0.8544084114522522,False
67,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,100,0.1003,0.28840265070360266,2.195815346799193,0.17329690762848254,0.8543369560481082,False
68,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,100,0.1001,0.2885848909697387,2.1957883696312397,0.1730704272448258,0.8543697855736109,False
69,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,100,0.0998,0.29026291553703776,2.242565432865186,0.17290421791984953,0.8542935503468885,False
70,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,250,0.1004,0.28799608639205626,2.1711306700223294,0.1729167150164977,0.8544238816829711,False
71,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,250,0.1005,0.2876415536408107,2.1618728912037497,0.1729434331476309,0.8543067124776155,False
72,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,250,0.0999,0.2877746001000422,2.164990876497817,0.17313042859852462,0.8542909359295973,False
73,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,250,0.0999,0.2877512997998959,2.1685151816539054,0.17301846857696593,0.8543900052751562,False
74,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,250,0.1004,0.2874198845712116,2.1556715813730176,0.17292171327132036,0.8543690606683827,False
75,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,500,0.0999,0.2874557467854265,2.1563305173430782,0.17309628671614413,0.8543607643684947,False
76,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,500,0.0998,0.28737185564617496,2.15434756288629,0.17300037937234236,0.854357111509069,False
77,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,500,0.0999,0.2873775273617042,2.153989872393357,0.17297456561410646,0.8543245414179863,False
78,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,500,0.0995,0.2875287320230458,2.158088007431112,0.172904851942693,0.8544011499162971,False
79,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,500,0.1015,0.2877232515714584,2.1650171433081034,0.17300861811923632,0.8542634042549391,False
80,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,1000,0.1004,0.2873548377384042,2.1534136625546303,0.17287548782097356,0.8543489691989368,False
81,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,1000,0.1003,0.28728406455383076,2.151434342442249,0.1729827391262658,0.8543740971719231,False
82,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,1000,0.1004,0.2872046208425891,2.1490363249654094,0.17290251241441054,0.8543393683883956,False
83,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,1000,0.1015,0.2872088227183756,2.149091271511286,0.17293362479570465,0.8543077640895109,False
84,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,1000,0.1015,0.2871600494937598,2.14782611455763,0.172935295893351,0.8543360873016189,False
85,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,5000,0.0999,0.28715755480079813,2.147713454956747,0.1729493888804525,0.8543414167128818,False
86,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-05,5000,0.1001,0.2871625547270321,2.147862588849269,0.17296385624676078,0.8543635880256608,False
