,dataset,n_data,dim_reduction_technique,dimension,prob_labels,alpha,n_samples,k,RMSE,Accuracy,KL,MAE,TV,runtime,config
48,CIFAR10-H,10000,CLIP+UMAP,10,prob_label,0.99,100,20,0.1338249556598597,0.8487,0.5834303977575724,0.05120995079835833,0.24852567196393574,0.6843874454498291,configs/FGMRES.json
49,CIFAR10-H,10000,CLIP+UMAP,7,prob_label,0.99,100,20,0.12646112466173792,0.8711,0.5101607595201596,0.04518865258583301,0.21742565275872003,0.6519639492034912,configs/FGMRES.json
50,CIFAR10-H,10000,CLIP+UMAP,5,prob_label,0.99,100,20,0.12118957095993699,0.8837,0.5658602436363078,0.03639536557448714,0.17516407483981997,0.6617531776428223,configs/FGMRES.json
51,CIFAR10-H,10000,CLIP+UMAP,3,prob_label,0.99,100,20,0.1305470869588457,0.8559,0.5955780860669134,0.044583233926960404,0.21610452462085605,0.6345565319061279,configs/FGMRES.json
52,CIFAR10-H,10000,CLIP+UMAP,2,prob_label,0.99,100,20,0.12507294938223543,0.8695,0.6185515447421424,0.03447665582683049,0.16699059172374098,0.6302988529205322,configs/FGMRES.json
53,CIFAR10-H,10000,CLIP+PCA,512,prob_label,0.99,100,20,0.22006292715455125,0.668,1.1090338075633912,0.12710891984661687,0.6298218896699521,71.84645938873291,configs/FGMRES.json
54,CIFAR10-H,10000,CLIP+PCA,256,prob_label,0.99,100,20,0.21391563457742632,0.8367,1.0375131585744282,0.12406863283297029,0.6149165114840992,37.9142484664917,configs/FGMRES.json
55,CIFAR10-H,10000,CLIP+PCA,100,prob_label,0.99,100,20,0.21768280603087092,0.6187,1.1091355249895518,0.12421725880211423,0.6151686568703081,12.497199058532715,configs/FGMRES.json
56,CIFAR10-H,10000,CLIP+PCA,50,prob_label,0.99,100,20,0.21075164617649716,0.8534,1.0168183223011094,0.12244215108278175,0.6066868931283594,6.527246475219727,configs/FGMRES.json
57,CIFAR10-H,10000,CLIP+PCA,40,prob_label,0.99,100,20,0.2066532417138091,0.8705,0.9911141550892287,0.11962456588211792,0.5921478056821712,5.432311534881592,configs/FGMRES.json
58,CIFAR10-H,10000,CLIP+PCA,30,prob_label,0.99,100,20,0.21126106852517776,0.8173,0.9990499097438271,0.1213604090589712,0.600710575906066,4.233131647109985,configs/FGMRES.json
59,CIFAR10-H,10000,CLIP+PCA,20,prob_label,0.99,100,20,0.2221549215973228,0.6569,1.1080372949295219,0.12691280451080988,0.6276987619380746,2.847029685974121,configs/FGMRES.json
