,dataset,prob_labels,n_data,dim_reduction_technique,dimension,metric,k,n_samples,Accuracy,RMSE
67,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,100,0.88234,0.12772543187898697
68,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,100,0.86894,0.1375989443723606
69,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,100,0.86544,0.12846598730518236
70,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,250,0.89396,0.12848427047485214
71,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,250,0.89116,0.13029162045878157
72,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,250,0.86584,0.1336384444901222
73,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,250,0.8778,0.13131473357194448
74,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,250,0.88866,0.13132405691555152
75,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,500,0.89236,0.12483749820144233
76,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,500,0.89002,0.12544996909565734
77,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,500,0.8809,0.1272079549046414
78,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,500,0.88206,0.12962705013091108
79,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,500,0.89046,0.12834096236112924
80,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,1000,0.88774,0.1263912682093998
81,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,1000,0.88636,0.12739993611287845
82,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,1000,0.88914,0.12626649564381154
83,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,1000,0.88366,0.1282362382298126
84,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,1000,0.89102,0.1251489840428875
85,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,5000,0.8951,0.1202690796819467
86,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,5000,0.89496,0.12039089087214598
87,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,5000,0.89384,0.12088301561986695
88,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,5000,0.89584,0.12001016125360627
89,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,5000,0.8959,0.11959672073198284
90,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,10000,0.89972,0.11596547411566105
91,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,10000,0.90152,0.11629473919974016
92,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,10000,0.90022,0.11619483656001958
93,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,10000,0.90028,0.11511267832256507
94,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,10000,0.8979,0.11675084119345332
95,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,100000,0.9208,0.09174271170558411
96,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,100000,0.92182,0.09116942092489054
97,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,100000,0.92128,0.09162896338654772
98,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,100000,0.9211,0.09144287319884337
99,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,100000,0.92156,0.09151375678658982
100,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,10,0.19412,0.2987669029692443
101,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,10,0.27698,0.30749915300283026
102,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,10,0.19852,0.2968332975063984
103,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,10,0.15872,0.3006637656871693
104,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,10,0.1848,0.29512330341394594
105,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,25,0.47396,0.2270713626523408
106,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,25,0.63294,0.22499285632022445
107,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,25,0.4918,0.24039309635906303
108,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,25,0.47538,0.25905850966136384
109,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,25,0.48844,0.24786179974660097
110,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,50,0.69032,0.20021305097956868
111,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,50,0.75856,0.16383778666900226
112,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,50,0.8268,0.16411070848934955
113,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,50,0.89138,0.15063979907187705
114,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,50,0.77256,0.1813976861416139
115,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,100,0.89046,0.12507879454732557
116,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,5,100,0.8978,0.12578348208611112
