,dataset,prob_labels,n_data,dim_reduction_technique,dimension,metric,k,n_samples,Accuracy,RMSE
476,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,500,0.60652,0.21654775257044698
477,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,500,0.62904,0.21781790143263394
478,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,500,0.69278,0.21485414332840874
479,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,500,0.69012,0.21404216462634382
480,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,1000,0.88916,0.12375843917354604
481,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,1000,0.88728,0.12323743353296035
482,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,1000,0.8904,0.12212782496036054
483,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,1000,0.88608,0.12701395807462568
484,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,1000,0.89084,0.12392084835533781
485,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,5000,0.90102,0.11200608319424343
486,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,5000,0.89666,0.11244663799963499
487,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,5000,0.89956,0.11199710806868035
488,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,5000,0.90002,0.11168646030577087
489,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,5000,0.90062,0.11202997445338576
490,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,10000,0.90276,0.110028350844296
491,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,10000,0.90178,0.11027620540222942
492,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,10000,0.90208,0.11036646651093104
493,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,10000,0.90292,0.11024624610097888
494,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,10000,0.90248,0.11029657286371315
495,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,100000,0.908,0.10583000336469202
496,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,100000,0.90846,0.10579572723529743
497,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,100000,0.90812,0.10577251554588818
498,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,100000,0.90774,0.1057705291503022
499,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,100000,0.90774,0.10582967097164186
